Date,Match #,Stage,Team 1,Team 2,Elo1,Elo2,Goals1,Goals2,Attack_Rating_T1,Attack_Rating_T2,Defense_Rating_T1,Defense_Rating_T2,Form_Last5_T1,Form_Last5_T2,Form_Weighted_T1,Form_Weighted_T2
6/12/2014,1,Group Stage,Brazil,Croatia,2113,1787,3,1,2.14,1.38,0.79,0.63,15,12,31.7,21.44
6/13/2014,2,Group Stage,Mexico,Cameroon,1756,1732,1,0,1.25,1.25,0.75,0.75,8,10,14.05,17.32
6/13/2014,3,Group Stage,Netherlands,Spain,2023,2074,5,1,2.75,2.17,0.75,0.33,16,13,32.37,26.96
6/13/2014,4,Group Stage,Chile,Australia,1797,1769,3,1,1.71,1.67,1.5,1.33,11,10,19.77,17.69
6/14/2014,5,Group Stage,Colombia,Greece,1898,1742,3,0,1.57,0.75,0.64,0.75,12,10,22.78,17.42
6/14/2014,6,Group Stage,Uruguay,Costa Rica,1910,1726,1,3,1.57,1.25,1.57,0.25,12,13,22.92,22.44
6/14/2014,7,Group Stage,Italy,England,1882,1905,2,1,2.5,1.75,0.38,0.5,16,10,30.11,19.05
6/14/2014,8,Group Stage,Ivory Coast,Japan,1786,1765,2,1,2.5,1.83,0.83,0.83,14,13,25,22.95
6/15/2014,9,Group Stage,Switzerland,Ecuador,1768,1854,2,1,2.25,1.29,0.5,1.14,14,9,24.75,16.69
6/15/2014,10,Group Stage,France,Honduras,1859,1629,3,0,2.17,1.4,0.67,1.4,13,9,24.17,14.66
6/15/2014,11,Group Stage,Argentina,Bosnia-Herzegovina,2048,1751,2,1,2.14,1,0.79,0.63,16,10,32.77,17.51
6/16/2014,12,Group Stage,Germany,Portugal,2014,1880,4,0,2.63,2.13,0.25,0.63,17,14,34.24,26.32
6/16/2014,13,Group Stage,Iran,Nigeria,1785,1674,0,0,1.33,1.25,0.67,0.75,9,13,16.07,21.76
6/16/2014,14,Group Stage,USA,Ghana,1722,1711,2,1,1.5,1.75,0.75,0.75,13,13,22.39,22.24
6/17/2014,15,Group Stage,Belgium,Algeria,1844,1648,2,1,2.75,2,0.25,0.75,17,14,31.35,23.07
6/17/2014,16,Group Stage,Brazil,Mexico,2113,1756,0,0,2.14,1.25,0.79,0.75,18,11,38.03,19.32
6/17/2014,17,Group Stage,Russia,South Korea,1809,1765,1,1,2.25,1.67,0.5,0.67,13,10,23.52,17.65
6/18/2014,18,Group Stage,Netherlands,Australia,2023,1769,3,2,2.75,1.67,0.75,1.33,19,10,38.44,17.69
6/18/2014,19,Group Stage,Chile,Spain,1797,2074,2,0,1.71,2.17,1.5,0.33,14,16,25.16,33.18
6/18/2014,20,Group Stage,Croatia,Cameroon,1787,1732,4,0,1.38,1.25,0.63,0.75,15,10,26.81,17.32
6/19/2014,21,Group Stage,Colombia,Ivory Coast,1898,1786,2,1,1.57,2.5,0.64,0.83,15,17,28.47,30.36
6/19/2014,22,Group Stage,Uruguay,England,1910,1905,2,1,1.57,1.75,1.57,0.5,14,13,26.74,24.77
6/19/2014,23,Group Stage,Japan,Greece,1765,1742,0,0,1.83,0.75,0.83,0.75,16,13,28.24,22.65
6/20/2014,24,Group Stage,Costa Rica,Italy,1726,1882,1,0,1.25,2.5,0.25,0.38,16,16,27.62,30.11
6/20/2014,25,Group Stage,France,Switzerland,1859,1768,5,2,2.17,2.25,0.67,0.5,16,17,29.74,30.06
