Date,Match #,Stage,Team 1,Team 2,Elo1,Elo2,Goals1,Goals2
6/12/2014,1,Group Stage,Brazil,Croatia,2113,1787,3,1
6/13/2014,2,Group Stage,Mexico,Cameroon,1756,1732,1,0
6/13/2014,3,Group Stage,Netherlands,Spain,2023,2074,5,1
6/13/2014,4,Group Stage,Chile,Australia,1797,1769,3,1
6/14/2014,5,Group Stage,Colombia,Greece,1898,1742,3,0
6/14/2014,6,Group Stage,Uruguay,Costa Rica,1910,1726,1,3
6/14/2014,7,Group Stage,Italy,England,1882,1905,2,1
6/14/2014,8,Group Stage,Ivory Coast,Japan,1786,1765,2,1
6/15/2014,9,Group Stage,Switzerland,Ecuador,1768,1854,2,1
6/15/2014,10,Group Stage,France,Honduras,1859,1629,3,0
6/15/2014,11,Group Stage,Argentina,Bosnia-Herzegovina,2048,1751,2,1
6/16/2014,12,Group Stage,Germany,Portugal,2014,1880,4,0
6/16/2014,13,Group Stage,Iran,Nigeria,1785,1674,0,0
6/16/2014,14,Group Stage,USA,Ghana,1722,1711,2,1
6/17/2014,15,Group Stage,Belgium,Algeria,1844,1648,2,1
6/17/2014,16,Group Stage,Brazil,Mexico,2113,1756,0,0
6/17/2014,17,Group Stage,Russia,South Korea,1809,1765,1,1
6/18/2014,18,Group Stage,Netherlands,Australia,2023,1769,3,2
6/18/2014,19,Group Stage,Chile,Spain,1797,2074,2,0
6/18/2014,20,Group Stage,Croatia,Cameroon,1787,1732,4,0
6/19/2014,21,Group Stage,Colombia,Ivory Coast,1898,1786,2,1
6/19/2014,22,Group Stage,Uruguay,England,1910,1905,2,1
6/19/2014,23,Group Stage,Japan,Greece,1765,1742,0,0
6/20/2014,24,Group Stage,Costa Rica,Italy,1726,1882,1,0
6/20/2014,25,Group Stage,France,Switzerland,1859,1768,5,2
6/20/2014,26,Group Stage,Ecuador,Honduras,1854,1629,2,1
6/21/2014,27,Group Stage,Argentina,Iran,2048,1785,1,0
6/21/2014,28,Group Stage,Germany,Ghana,2014,1711,2,2
6/21/2014,29,Group Stage,Nigeria,Bosnia-Herzegovina,1674,1751,1,0
6/22/2014,30,Group Stage,Belgium,Russia,1844,1809,1,0
6/22/2014,31,Group Stage,Algeria,South Korea,1648,1765,4,2
6/22/2014,32,Group Stage,USA,Portugal,1722,1880,2,2
6/23/2014,33,Group Stage,Netherlands,Chile,2023,1797,2,0
6/23/2014,34,Group Stage,Spain,Australia,2074,1769,3,0
6/23/2014,35,Group Stage,Mexico,Croatia,1756,1787,3,1
6/23/2014,36,Group Stage,Brazil,Cameroon,2113,1732,4,1
6/24/2014,37,Group Stage,Uruguay,Italy,1910,1882,1,0
6/24/2014,38,Group Stage,Costa Rica,England,1726,1905,0,0
6/24/2014,39,Group Stage,Colombia,Japan,1898,1765,4,1
6/24/2014,40,Group Stage,Greece,Ivory Coast,1742,1786,2,1
6/25/2014,41,Group Stage,Argentina,Nigeria,2048,1674,3,2
6/25/2014,42,Group Stage,Bosnia-Herzegovina,Iran,1751,1785,3,1
6/25/2014,43,Group Stage,Ecuador,France,1854,1859,0,0
6/25/2014,44,Group Stage,Switzerland,Honduras,1768,1629,3,0
6/26/2014,45,Group Stage,Germany,USA,2014,1722,1,0
6/26/2014,46,Group Stage,Portugal,Ghana,1880,1711,2,1
6/26/2014,47,Group Stage,South Korea,Belgium,1765,1844,0,1
6/26/2014,48,Group Stage,Algeria,Russia,1648,1809,1,1
6/28/2014,49,Round of 16,Brazil,Chile,2113,1797,1,1
6/28/2014,50,Round of 16,Colombia,Uruguay,1898,1910,2,0
6/29/2014,51,Round of 16,Netherlands,Mexico,2023,1756,2,1
