Date,Team 1,Team 2,Goals1,Goals2,Elo1,Elo2,Stage
1930-07-13,France,Mexico,4,1,1500.0,1500.0,Group stage
1930-07-13,United States,Belgium,3,0,1500.0,1500.0,Group stage
1930-07-14,Yugoslavia,Brazil,2,1,1500.0,1500.0,Group stage
1930-07-14,Romania,Peru,3,1,1500.0,1500.0,Group stage
1930-07-15,Argentina,France,1,0,1500.0,1528.0,Group stage
1930-07-16,Chile,Mexico,3,0,1500.0,1472.0,Group stage
1930-07-17,Yugoslavia,Bolivia,4,0,1516.0,1500.0,Group stage
1930-07-17,United States,Paraguay,3,0,1528.0,1500.0,Group stage
1930-07-18,Uruguay,Peru,1,0,1500.0,1476.0,Group stage
1930-07-19,Argentina,Mexico,6,3,1517.28666330636,1446.2516607861298,Group stage
1930-07-19,Chile,France,1,0,1525.7483392138702,1510.71333669364,Group stage
1930-07-20,Paraguay,Belgium,1,0,1474.2516607861298,1472.0,Group stage
1930-07-20,Brazil,Bolivia,4,0,1484.0,1469.472613587044,Group stage
1930-07-21,Uruguay,Romania,4,0,1514.8965137687414,1524.0,Group stage
1930-07-22,Argentina,Chile,3,1,1539.6403753195273,1541.0563836384235,Group stage
1930-07-26,Argentina,United States,6,1,1563.7381891673479,1553.7483392138702,Semi-finals
1930-07-27,Uruguay,Yugoslavia,6,1,1547.7347840093275,1546.527386412956,Semi-finals
1930-07-30,Uruguay,Argentina,4,2,1583.60967840615,1598.7033627480619,Final
1934-05-27,Czechoslovakia,Romania,2,1,1500.0,1491.161729759414,Round of 16
1934-05-27,Hungary,Egypt,4,2,1500.0,1500.0,Round of 16
1934-05-27,Austria,France,3,2,1500.0,1495.4052922690867,Round of 16
1934-05-27,Spain,Brazil,3,1,1500.0,1514.6627574924566,Round of 16
1934-05-27,Sweden,Argentina,3,2,1500.0,1573.6613833993813,Round of 16
1934-05-27,Italy,United States,7,1,1500.0,1518.7831656331562,Round of 16
1934-05-27,Switzerland,Netherlands,3,2,1500.0,1500.0,Round of 16
1934-05-27,Germany,Belgium,5,2,1500.0,1456.1036913595105,Round of 16
1934-05-31,Germany,Sweden,2,1,1524.4810794673442,1519.3423024983615,Quarter-finals
1934-05-31,Italy,Spain,1,1,1542.1603875247877,1525.012266501199,Quarter-finals
1934-05-31,Czechoslovakia,Switzerland,3,2,1515.5930703877962,1516.0,Quarter-finals
1934-05-31,Austria,Hungary,2,1,1515.7884182238738,1524.0,Quarter-finals
1934-06-01,Italy,Spain,1,0,1541.3713279908832,1525.8013260351036,Quarter-finals
1934-06-03,Czechoslovakia,Germany,3,1,1531.6118101804063,1540.2444472975305,Semi-finals
1934-06-03,Italy,Austria,1,0,1556.6547825182367,1532.1665051417963,Semi-finals
1934-06-07,Germany,Austria,3,2,1515.6482485360316,1517.292368237345,Third-place match
1934-06-10,Italy,Czechoslovakia,2,1,1571.528919422688,1556.2080089419053,Final
1938-06-04,Switzerland,Germany,1,1,1499.9812602073898,1531.7239624811773,Round of 16
1938-06-05,Czechoslovakia,Netherlands,3,0,1540.9131059691701,1484.0,Round of 16
1938-06-05,Brazil,Poland,6,5,1489.6504909912576,1500.0,Round of 16
1938-06-05,France,Belgium,3,1,1479.6168740452129,1431.6226118921663,Round of 16
1938-06-05,Hungary,Dutch East Indies,6,0,1507.6219130820775,1500.0,Round of 16
1938-06-05,Cuba,Romania,3,3,1500.0,1475.5686593716177,Round of 16
1938-06-05,Italy,Norway,2,1,1586.8238223954231,1500.0,Round of 16
1938-06-09,Cuba,Romania,2,1,1498.8767459858254,1476.6919133857923,Round of 16
1938-06-09,Switzerland,Germany,4,2,1501.439011890917,1530.26621079765,Round of 16
1938-06-12,Sweden,Cuba,8,0,1503.5789346681752,1513.8564829233096,Quarter-finals
1938-06-12,Italy,France,3,1,1598.906642162192,1500.3224761221481,Quarter-finals
1938-06-12,Hungary,Switzerland,2,0,1546.7445486520965,1527.4257672329595,Quarter-finals
1938-06-12,Brazil,Czechoslovakia,1,1,1506.1269625718246,1564.367041136223,Quarter-finals
1938-06-14,Brazil,Czechoslovakia,2,1,1508.7841752112374,1561.7098284968101,Quarter-finals
1938-06-16,Italy,Brazil,2,1,1616.273752194525,1527.2028122392298,Semi-finals
1938-06-16,Hungary,Sweden,5,1,1569.4114281379927,1552.9984164197494,Semi-finals
1938-06-19,Italy,Hungary,4,2,1628.2594461909525,1599.9008574195495,Final
1938-06-19,Brazil,Sweden,4,2,1515.2171182428024,1522.5089871381927,Third-place match
